id,firstName,lastName,phone,message,email,password,userType,imgUrl,createdAt,updatedAt
1,Pat,Howard,222-958-7894,NULL,phoward@recruiter.com,$2a$10$G0INudpMl46NVrKAXZwRJ.3yw83ohzd4ZtPqnW5rrASVMF/OGX56u,recruiter,https://avatars1.githubusercontent.com/u/7431751?s=460&u=e4d442718cd813e911c010b57b4953000967252a&v=4,"2020-10-28 11:49:24","2020-10-28 11:49:24"
2,Allison,Haver,201-555-5555,"Motivated Web Developer",ahaver@hireme.com,$2a$10$IwBEFLyPNqutwwMUtN2pe.4iPxeLCtbqFwtTZ5VH1z93AxOpHFUFK,student,https://avatars0.githubusercontent.com/u/67609357?s=460&u=5bb680c7d7a97bcb81e8015ac0787d75408f8b79&v=4,"2020-10-28 11:51:45","2020-10-28 11:51:45"
3,Tristan,Eastman,777-777-7777,"Coding Rocks!",teastman@hireme.com,$2a$10$qqxNQfN8PsWUTONcbM5JeOUDmshhChY2YJsbV2cwNC.juQFFxqx4q,student,https://avatars3.githubusercontent.com/u/66699557?s=460&u=c21888aadf2909380d83c4dd5d8578869d5c9e42&v=4,"2020-10-28 11:51:45","2020-10-28 11:51:45"
4,Sendy,Mederos,999-999-9999,"Future Web Designer! Lets Build together!",smederos@hireme.com,$2a$10$aJUoCl8aTDijE5C4L6/tluYSDtWKYr42nQf9MIaWqGo0PS/YszEBy,student,https://avatars0.githubusercontent.com/u/64746704?s=460&u=db6f4ac60520fa97ee7e9098c248755e1787c6b2&v=4,"2020-10-28 11:51:45","2020-10-28 11:51:45"
5,Emily,Armstrong,787-958-3625,NULL,earmstrong@recruiter.com,$2a$10$Ni30LbzWUpDWPw9IVU1qYuTOgn5n3QHlTlK/QZzEtRJkzKbLH.M0a,recruiter,https://avatars3.githubusercontent.com/u/6422952?s=460&u=64b572b73aa7a82b330469aa7b08fecd589cedb9&v=4,"2020-10-28 11:51:45","2020-10-28 11:51:45"
6,Fabian,Byrd,333-333-3333,NULL,fbyrd@recruiter.com,$2a$10$ze9MQqp/7FFFvwPJxz1D.uTqD5gI0F73bN.D8h.sNogFEjLHtWR8C,recruiter,https://avatars1.githubusercontent.com/u/29986440?s=460&u=5db63f3f5430a5aea348759932da25a74df9e7e9&v=4,"2020-10-28 11:51:45","2020-10-28 11:51:45"
8,Shelby,Kelly,879-285-1475,"Another Message",skelly@hireme.com,$2a$10$vWDFcLIQ5K.r4yZ7Qsd0eOH7lgKuToeYjdLN3YkIKvtqmasEvSDPW,student,https://avatars2.githubusercontent.com/u/67724674?s=460&u=11f9dba88e6ed6a01e9a167b3e01729f7ffef52f&v=4,"2020-10-28 16:53:14","2020-10-28 16:53:14"
9,Seless,L,123-456-7891,"Frontend Is My Specialty!",selessl@hireme.com,$2a$10$gyRQMZPahBogZ/FcbS8Bbegam79suebAo5T8fWWJbvRPHq6U7b32i,student,https://avatars0.githubusercontent.com/u/67765334?s=460&u=2b9ba7ac0af58584c819b448277d96a0626585ed&v=4,"2020-10-28 16:54:51","2020-10-28 16:54:51"
10,Sioua,Xiong,111-213-1415,"backend developer",sxiong@hireme.com,$2a$10$q.ukmg2uRQV1cPmanD91MuQra8zV3qlcioCHNTyhDOaIcTPDkWU7q,"recent grad",https://avatars1.githubusercontent.com/u/68033651?s=460&u=e9be3b3ccdf4b26429068c94e949f41bd6ec304c&v=4,"2020-10-28 16:57:01","2020-10-28 16:57:01"
11,Victoria,Perry,171-819-2021,"Frontend Is My Specialty!",vperry@hireme.com,$2a$10$vg0Z6oSci4WiFsedQnFGCeuoqxOi4J0Bf6b3R/QDypvDHU.CwDunq,"recent grad",https://avatars1.githubusercontent.com/u/67212575?s=460&u=6bbc9bb9ee36b2883b5eae7dfff3f2d6311187f2&v=4,"2020-10-28 16:58:48","2020-10-28 16:58:48"
12,Phil,Robbins,222-324-2526,"Data Tester",probbins@hireme.com,$2a$10$AVEn1G/P2qgIIhIk/xvDfOvUXffo.LtcR79fpU9/AsuPS//S2XNY6,"recent grad",https://avatars3.githubusercontent.com/u/66342170?s=460&u=33983fd041313ed8f97ac403888413f2f12b3531&v=4,"2020-10-28 17:00:50","2020-10-28 17:00:50"
13,Camillo,Alvarez,968-784-5524,"Best Coder Ever! Let's Build Together!",calveraz@hireme.com,$2a$10$jzXSRh6wmFhAlrNmrA4esO7svvgui.ofcvMzVhVVdg6qZBw0x5hPG,student,https://avatars0.githubusercontent.com/u/65920508?s=460&u=2c9c4b79be22b9e1f46d20ebc51ff762ef1402cf&v=4,"2020-10-28 19:03:05","2020-10-28 19:03:05"
